,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
1,95.857,0.5,CCCCCCCCC,0.143,4.0,1.82,1470,93
6,95.857,0.5,CCCCCCCCC,0.143,4.0,1.84,1385,231
17,95.714,1.0,CCCCCCCCC,0.286,4.0,1.8,1384,382
82,95.857,0.5,CCCCCCCCC,0.143,4.0,1.81,1299,730
99,95.857,0.5,CCCCCCCCC,0.143,4.0,1.75,1331,421
