,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
39,95.857,0.5,CCCCCCCCC,0.143,4.0,1.67,1403,190
56,95.714,1.0,CCCCCCCCC,0.286,4.0,1.91,1330,780
155,95.714,1.0,CCCCCCCCC,0.286,4.0,1.68,1288,1351
