,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
2,99.64,1.0,CCCCCCC,0.03,0.33,2.04,1640,99
3,99.4,1.0,CCCCCCC,0.05,0.55,1.61,1546,162
7,99.64,1.0,CCCCCCC,0.03,0.33,2.36,1506,189
14,95.2,1.0,CCCCCCC,0.4,4.4,4.07,1420,163
15,99.4,1.0,CCCCCCC,0.05,0.55,1.72,1395,878
18,94.8,0.9,CCCCCCC,0.4,4.8,1.18,1381,488
19,77.526,1.0,CCCCCCC,1.874,20.6,10.27,1344,85
21,90.8,0.5,CCCCCCC,0.4,8.8,1.22,1347,323
25,95.2,1.0,CCCCCCC,0.4,4.4,4.03,1476,90
26,78.55,1.0,CCCCCCC,1.75,19.7,1.24,1386,177
29,95.2,1.0,CCCCCCC,0.4,4.4,1.27,1428,296
32,90.4,1.0,CCCCCCC,0.8,8.8,1.17,1426,208
36,97.7,0.5,CCCCCCC,0.1,2.2,15.81,1230,698
39,77.526,1.0,CCCCCCC,1.874,20.6,19.87,906,1836
47,77.526,1.0,CCCCCCC,1.874,20.6,1.97,1249,298
50,77.526,1.0,CCCCCCC,1.874,20.6,11.24,1236,207
58,97.4,2.0,CCCCCCC,0.4,2.2,1.22,1619,210
