,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
2,78.2428,0.67,CCCCCCCCCCCC,0.7572,21.0,6.23,1249,114
5,77.198,1.59,CCCCCCCCCCCC,1.802,21.0,6.31,939,544
11,78.484,0.45,CCCCCCCCCCCC,0.516,21.0,6.4,1068,2126
13,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,33.7,1118,183
15,96.175,0.5,CCCCCCCCCCCC,0.1,3.725,15.93,1179,847
20,99.2055,1.0,CCCCCCCCCCCC,0.0445,0.75,2.25,1330,1592
21,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,18.7,1125,188
22,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1141,680
23,96.304,0.5,CCCCCCCCCCCC,0.1,3.596,15.77,1196,701
25,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,30.9,1117,266
29,99.2068,1.0,CCCCCCCCCCCC,0.0505,0.7427,2.07,1545,262
31,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1196,229
32,98.03754,0.5,CCCCCCCCCCCC,0.05146,1.911,15.31,1258,682
33,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,20.6,1135,178
36,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,20.1,1054,788
37,78.5405,0.4,CCCCCCCCCCCC,0.4595,21.0,5.78,1319,181
38,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,20.8,1177,165
42,78.3156,0.6,CCCCCCCCCCCC,0.6844,21.0,6.12,1127,797
43,77.76,1.09,CCCCCCCCCCCC,1.24,21.0,4.98,932,4627
44,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,18.9,1049,839
45,77.884,0.98,CCCCCCCCCCCC,1.116,21.0,4.1,1061,959
47,78.9338,0.06,CCCCCCCCCCCC,0.0662,21.0,5.2,1134,2006
50,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,20.3,1118,346
52,78.9442,0.05,CCCCCCCCCCCC,0.0558,21.0,5.34,1156,1526
57,78.0015,0.88,CCCCCCCCCCCC,0.9985,21.0,6.25,921,5556
59,77.496,1.32,CCCCCCCCCCCC,1.504,21.0,6.26,838,5352
63,78.79,0.18,CCCCCCCCCCCC,0.21,21.0,7.1,1187,793
64,97.139,0.5,CCCCCCCCCCCC,0.075,2.786,14.98,1192,1056
65,78.4467,0.49,CCCCCCCCCCCC,0.5533,21.0,6.25,1107,1200
69,77.769,1.08,CCCCCCCCCCCC,1.231,21.0,4.86,921,6085
72,78.411,0.52,CCCCCCCCCCCC,0.589,21.0,6.4,1191,550
74,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,24.0,1123,262
80,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,20.8,1102,268
83,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,21.0,942,1116
84,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,18.1,943,2276
85,78.125,0.77,CCCCCCCCCCCC,0.875,21.0,4.57,1192,246
86,78.1071,0.79,CCCCCCCCCCCC,0.8929,21.0,4.88,1118,587
88,96.175,0.5,CCCCCCCCCCCC,0.1,3.725,16.1,1219,485
89,78.17,0.73,CCCCCCCCCCCC,0.83,21.0,4.43,1035,1803
90,78.0635,0.82,CCCCCCCCCCCC,0.9365,21.0,7.88,1050,1034
92,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,22.4,1008,570
94,77.834,1.03,CCCCCCCCCCCC,1.166,21.0,7.0,940,2599
95,97.139,0.5,CCCCCCCCCCCC,0.075,2.786,15.84,1222,625
102,78.545,0.5,CCCCCCCCCCCC,0.565,20.89,21.0,1149,261
103,78.8095,0.17,CCCCCCCCCCCC,0.1905,21.0,5.65,1112,2281
104,78.2922,0.62,CCCCCCCCCCCC,0.7078,21.0,5.33,1172,663
105,77.831,1.03,CCCCCCCCCCCC,1.169,21.0,6.57,958,2041
106,78.258,0.65,CCCCCCCCCCCC,0.742,21.0,4.68,1003,4081
107,77.842,1.02,CCCCCCCCCCCC,1.158,21.0,5.05,954,4169
110,78.0376,0.85,CCCCCCCCCCCC,0.9624,21.0,4.36,1019,1828
114,78.7466,0.22,CCCCCCCCCCCC,0.2534,21.0,4.93,1163,1800
115,98.03754,0.5,CCCCCCCCCCCC,0.05146,1.911,15.52,1322,293
118,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,22.1,1036,432
121,78.0503,0.84,CCCCCCCCCCCC,0.9497,21.0,8.53,1179,220
123,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,23.3,1107,298
124,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,20.0,953,1141
126,99.203,1.0,CCCCCCCCCCCC,0.047,0.75,2.37,1406,571
127,98.03754,0.5,CCCCCCCCCCCC,0.05146,1.911,15.08,1252,713
129,78.107,1.0,CCCCCCCCCCCC,1.123,20.77,20.4,992,739
130,78.43,0.5,CCCCCCCCCCCC,0.57,21.0,6.7,1126,1069
131,99.2055,1.0,CCCCCCCCCCCC,0.0445,0.75,2.41,1403,586
132,77.506,1.32,CCCCCCCCCCCC,1.494,21.0,6.01,932,1559
133,99.1724,1.0,CCCCCCCCCCCC,0.05,0.7776,2.25,1553,276
