,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
187,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.4,1.0,CCCCCCC,0.8,431.0,Species,8.8,1.17,,Stanford,15.3,±5,CH,1426,±1,208
189,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1173,,475
197,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,21.8,,Stanford,5.0,±5,OH,991,±1,645
200,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.9,,Stanford,5.0,±5,OH,978,±1,912
214,n_heptane_methylcyclohexane,Ar,97.7,0.5,CCCCCCC,0.1,306.7,Species,2.2,15.81,,Stanford,7.5,,OH,1230,±1,698
217,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.4266,0.51,CCCCCCCCCCCC,0.5734,430.0,Speceis,21.0,5.76,±9.3,Stanford,15.3,,CH,1049,±1,2581
225,n_Dodecane / Vasu_2010_thesis,N2,96.304,0.5,CCCCCCCCCCCC,0.1,306.0,Species,3.596,15.38,,Stanford,5.0,±5,OH,1186,±1,822
228,blend_surrogate_fuels,N2,77.526,1.0,CCCCCCC,1.874,306.7,Species,20.6,19.87,,Stanford,5.0,,OH,906,±1.8,1836
231,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.6512,0.31,CCCCCCCCCCCC,0.3488,430.0,Speceis,21.0,4.79,±9.3,Stanford,15.3,,CH,1241,±1,337
232,n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,19.8,,Stanford,5.0,±5,OH,957,±1,1064
236,n_Dodecane / Vasu_2010_thesis,N2,96.2,0.5,CCCCCCCCCCCC,0.1,306.0,Species,3.7,16.57,,Stanford,5.0,±5,OH,1280,±1,195
238,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.0,0.88,CCCCCCCCCCCC,1.0,430.0,Speceis,21.0,4.49,±9.3,Stanford,15.3,,CH,976,±1,2555
239,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.714,1.0,CCCCCCCCC,0.286,306.0,Species,4.0,3.63,±1,Stanford,14.13,±3,OH,1348,±0.7,405
