,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
114,0.0997,0.7157,-0.7299,1.6491,0.6102
115,0.0989,0.7187,-0.7227,1.6655,0.6272
116,0.0969,0.7181,-0.747,1.6509,0.6282
117,0.0974,0.7183,-0.7359,1.6586,0.624
118,0.0962,0.7174,-0.78,1.6232,0.6243
119,0.0996,0.7159,-0.7238,1.6475,0.6208
120,0.0974,0.717,-0.7609,1.632,0.6376
121,0.0993,0.7174,-0.7236,1.6555,0.6295
122,0.0985,0.7192,-0.7218,1.6719,0.6262
123,0.0989,0.7179,-0.7223,1.6539,0.6255
124,0.0988,0.7172,-0.7168,1.662,0.6194
125,0.0966,0.7174,-0.765,1.6269,0.6208
126,0.0987,0.7179,-0.7194,1.663,0.619
127,0.0973,0.7168,-0.7449,1.6454,0.6168
128,0.0983,0.7169,-0.7167,1.6574,0.6257
129,0.0986,0.72,-0.7447,1.6644,0.6448
130,0.0989,0.7155,-0.7224,1.6486,0.6164
131,0.0973,0.7179,-0.7509,1.6443,0.6194
132,0.0978,0.7171,-0.7384,1.6464,0.6271
133,0.0988,0.7176,-0.7463,1.6432,0.634
134,0.0975,0.717,-0.7267,1.6491,0.6328
135,0.0986,0.7164,-0.7207,1.652,0.6277
136,0.0965,0.7173,-0.7417,1.6532,0.609
137,0.0966,0.7187,-0.7532,1.6513,0.6198
138,0.0993,0.7171,-0.722,1.6577,0.6198
139,0.0986,0.7185,-0.7347,1.6492,0.625
140,0.0975,0.7178,-0.7234,1.6641,0.6192
141,0.0966,0.718,-0.7497,1.6453,0.6353
142,0.0999,0.7165,-0.6963,1.669,0.6266
143,0.0981,0.718,-0.7189,1.6641,0.6273
144,0.0977,0.718,-0.7395,1.6491,0.623
145,0.0969,0.7181,-0.7914,1.6092,0.6197
146,0.0978,0.7172,-0.7264,1.6631,0.6136
147,0.0967,0.7187,-0.7416,1.6583,0.6281
148,0.099,0.7172,-0.7113,1.6605,0.6308
149,0.0994,0.7184,-0.7137,1.6637,0.6193
150,0.0993,0.7168,-0.734,1.647,0.613
151,0.0983,0.7178,-0.7234,1.6511,0.6155
152,0.0982,0.7169,-0.7388,1.645,0.626
153,0.0974,0.7167,-0.7445,1.6475,0.6078
154,0.0979,0.7192,-0.7227,1.6643,0.6291
155,0.0982,0.718,-0.7188,1.6664,0.6158
156,0.0982,0.7175,-0.7243,1.6576,0.6305
157,0.0991,0.7157,-0.7108,1.6634,0.6068
158,0.0995,0.7192,-0.7264,1.6637,0.6104
159,0.0967,0.7179,-0.7695,1.6299,0.6312
160,0.1,0.7163,-0.7036,1.6685,0.6209
161,0.0975,0.7172,-0.7447,1.6429,0.6239
162,0.0982,0.7182,-0.7293,1.6586,0.6141
163,0.0999,0.7171,-0.7227,1.6507,0.6255
164,0.0971,0.7169,-0.7443,1.645,0.6141
165,0.0994,0.718,-0.7083,1.6657,0.6095
166,0.0988,0.7177,-0.7333,1.6507,0.6201
167,0.0987,0.7163,-0.7319,1.6446,0.6095
168,0.099,0.7175,-0.7256,1.6562,0.6268
169,0.0984,0.7164,-0.7366,1.6495,0.6201
