,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
699,0.0454,0.725,-2.9788,-0.0226,1.4501
700,0.0475,0.7254,-2.9886,-0.051,1.42
701,0.0471,0.7203,-3.0041,-0.0887,1.3722
702,0.0472,0.7208,-2.9958,-0.0825,1.3941
703,0.0472,0.718,-3.0252,-0.1196,1.3501
704,0.0467,0.7213,-3.0075,-0.0657,1.405
705,0.0474,0.7213,-3.0153,-0.0963,1.3918
706,0.047,0.7209,-2.9965,-0.0759,1.4049
707,0.0472,0.7209,-3.0038,-0.0907,1.3689
708,0.0469,0.7193,-3.0102,-0.0919,1.3667
709,0.0464,0.7188,-3.0261,-0.1013,1.3722
710,0.0466,0.7214,-3.0038,-0.0677,1.4011
711,0.0471,0.7204,-3.0153,-0.0847,1.4001
712,0.0459,0.7206,-2.9969,-0.0742,1.4253
713,0.0459,0.7095,-3.026,-0.1271,1.3072
714,0.0454,0.7211,-3.0075,-0.074,1.3994
715,0.0471,0.7214,-2.9888,-0.0715,1.4176
716,0.0463,0.7191,-3.0261,-0.0989,1.369
717,0.0468,0.7168,-3.0335,-0.1307,1.3356
718,0.0473,0.7232,-2.9965,-0.0645,1.4102
719,0.0468,0.7189,-3.0116,-0.0988,1.3597
720,0.0474,0.7268,-2.985,-0.0447,1.4213
721,0.0477,0.7172,-3.0226,-0.1143,1.3512
722,0.0476,0.7216,-2.9923,-0.073,1.412
723,0.0467,0.7185,-3.0189,-0.1021,1.3548
724,0.0463,0.7193,-3.007,-0.0732,1.389
725,0.0471,0.7199,-3.0144,-0.0987,1.3712
726,0.047,0.7241,-3.0042,-0.0669,1.4158
727,0.0456,0.7213,-2.9965,-0.0612,1.4081
728,0.0471,0.72,-3.0111,-0.0944,1.3719
729,0.0474,0.7232,-3.0042,-0.0718,1.4097
730,0.0471,0.7227,-2.9965,-0.0678,1.4015
731,0.0473,0.7168,-3.0329,-0.1373,1.3282
732,0.047,0.7237,-2.9886,-0.0484,1.4194
733,0.0474,0.7213,-3.0071,-0.0823,1.3881
734,0.0467,0.7231,-2.9959,-0.0788,1.3977
735,0.0466,0.7167,-2.9913,-0.0757,1.3821
736,0.0475,0.7173,-2.9958,-0.091,1.3906
737,0.0467,0.718,-2.9573,-0.045,1.4362
738,0.0469,0.72,-3.0116,-0.0837,1.3927
739,0.0467,0.7188,-3.0139,-0.1065,1.3736
740,0.0465,0.7225,-2.9852,-0.0426,1.4155
741,0.0469,0.7217,-3.015,-0.0848,1.3895
742,0.0476,0.7229,-2.9877,-0.0605,1.4079
743,0.0471,0.725,-2.9886,-0.0484,1.4111
744,0.0466,0.7234,-2.9965,-0.0508,1.4223
745,0.0458,0.7281,-2.9847,-0.0326,1.4473
746,0.0477,0.7168,-2.977,-0.0746,1.4106
747,0.0472,0.7253,-2.9798,-0.0249,1.4466
748,0.0468,0.7201,-3.007,-0.0829,1.3799
749,0.0473,0.721,-3.0041,-0.0791,1.3842
750,0.0472,0.7212,-2.9965,-0.0727,1.4133
751,0.0472,0.7217,-3.0041,-0.0748,1.4
752,0.0454,0.7258,-2.9843,-0.025,1.4711
753,0.0469,0.7183,-3.0295,-0.1207,1.3452
754,0.0467,0.719,-3.007,-0.0829,1.3794
755,0.0471,0.72,-3.0111,-0.0944,1.3719
756,0.0474,0.7253,-2.9895,-0.052,1.4198
757,0.0469,0.7215,-2.9884,-0.064,1.3909
