,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
115,0.0556,0.9499,-0.156,3.0389,2.3963
116,0.056,0.9494,-0.1467,3.039,2.3911
117,0.0552,0.9504,-0.1836,3.0394,2.3742
118,0.0552,0.9472,-0.166,3.0391,2.3763
119,0.0555,0.9472,-0.178,3.0391,2.3931
120,0.0556,0.9505,-0.1631,3.0391,2.3819
121,0.0552,0.9484,-0.1709,3.0392,2.3678
122,0.0556,0.9525,-0.1311,3.039,2.4067
123,0.0554,0.9505,-0.1553,3.0391,2.3942
124,0.0559,0.9506,-0.1656,3.0389,2.4078
125,0.0554,0.9488,-0.1445,3.0391,2.3763
126,0.056,0.9503,-0.146,3.0389,2.399
127,0.0554,0.9511,-0.175,3.0393,2.363
128,0.0555,0.9487,-0.1794,3.0392,2.3831
129,0.056,0.9514,-0.1465,3.0388,2.4114
130,0.0555,0.9497,-0.1592,3.039,2.3951
131,0.0551,0.9468,-0.1785,3.0393,2.3456
132,0.0561,0.9563,-0.1443,3.0389,2.418
133,0.0554,0.9473,-0.1539,3.0392,2.3802
134,0.0558,0.9486,-0.1567,3.0389,2.3981
135,0.0554,0.9507,-0.1819,3.0391,2.3788
136,0.0555,0.9483,-0.1667,3.0391,2.3787
137,0.0559,0.9511,-0.1371,3.039,2.3835
138,0.0559,0.9495,-0.1593,3.0388,2.4197
139,0.0552,0.9501,-0.1613,3.0393,2.3596
140,0.0545,0.9483,-0.1827,3.0393,2.3625
141,0.056,0.9493,-0.166,3.0391,2.3891
142,0.0559,0.9493,-0.1421,3.0389,2.3971
143,0.0553,0.9497,-0.1651,3.0391,2.3743
144,0.0562,0.9494,-0.1592,3.0389,2.3988
145,0.0561,0.9501,-0.1529,3.0387,2.4339
146,0.0558,0.9516,-0.1376,3.0389,2.4249
147,0.0551,0.9462,-0.1647,3.0391,2.3816
148,0.0553,0.9516,-0.1663,3.0392,2.3801
149,0.0559,0.9512,-0.1683,3.0388,2.4133
150,0.0561,0.9525,-0.1332,3.0389,2.4021
151,0.0558,0.9466,-0.1532,3.0389,2.3912
152,0.0553,0.9433,-0.1689,3.0393,2.3592
153,0.0553,0.9482,-0.1705,3.0392,2.3763
154,0.0555,0.9496,-0.1673,3.0392,2.3689
155,0.0554,0.9475,-0.1698,3.0389,2.4015
156,0.056,0.9518,-0.1552,3.039,2.3954
157,0.0557,0.9501,-0.1618,3.0392,2.3736
158,0.0551,0.9492,-0.1597,3.0392,2.3798
159,0.0557,0.9533,-0.1558,3.039,2.3866
160,0.0553,0.9449,-0.1593,3.0391,2.394
161,0.0557,0.9474,-0.1574,3.039,2.3829
162,0.0553,0.9497,-0.1757,3.039,2.3975
163,0.0544,0.9416,-0.1781,3.0394,2.3379
164,0.0556,0.948,-0.1675,3.0391,2.3846
165,0.0553,0.952,-0.1587,3.039,2.3957
166,0.0558,0.9514,-0.1443,3.039,2.391
167,0.0553,0.9477,-0.1725,3.0391,2.3838
168,0.0559,0.9505,-0.1633,3.0389,2.4055
169,0.0557,0.9511,-0.1782,3.039,2.4076
170,0.056,0.9472,-0.1432,3.039,2.3861
171,0.0557,0.9493,-0.1568,3.0391,2.3839
172,0.0547,0.9469,-0.1801,3.0391,2.3863
173,0.0556,0.9477,-0.1623,3.0392,2.381
174,0.0562,0.9515,-0.144,3.0388,2.4239
175,0.0552,0.9485,-0.1639,3.0391,2.3745
176,0.0558,0.9492,-0.1583,3.039,2.4017
177,0.0551,0.9459,-0.1696,3.0392,2.3823
178,0.0552,0.9489,-0.1647,3.0391,2.3748
179,0.0557,0.9509,-0.1651,3.039,2.3882
180,0.0549,0.9459,-0.1777,3.0391,2.3831
181,0.0551,0.9508,-0.1687,3.0392,2.3521
182,0.0553,0.9483,-0.17,3.039,2.3947
183,0.0547,0.948,-0.1806,3.0393,2.369
184,0.0558,0.9518,-0.1265,3.0389,2.4098
185,0.0559,0.9516,-0.1456,3.039,2.3923
186,0.0557,0.9484,-0.1681,3.039,2.3945
187,0.0551,0.9503,-0.1798,3.0391,2.3812
188,0.0556,0.9533,-0.15,3.039,2.3944
189,0.0559,0.948,-0.1441,3.039,2.3919
190,0.0558,0.9502,-0.1597,3.039,2.3905
191,0.0555,0.9503,-0.1302,3.0389,2.4059
192,0.0559,0.9538,-0.1448,3.0389,2.4163
193,0.0551,0.9514,-0.1802,3.0392,2.4001
194,0.0561,0.951,-0.1668,3.039,2.3858
195,0.0554,0.9511,-0.1604,3.039,2.3996
196,0.0546,0.9488,-0.1998,3.0391,2.401
197,0.0555,0.9489,-0.1593,3.039,2.3983
198,0.0552,0.9516,-0.1652,3.0392,2.396
199,0.0553,0.9477,-0.1679,3.0391,2.4014
200,0.0556,0.9531,-0.1544,3.0391,2.384
201,0.0554,0.9514,-0.1717,3.0392,2.3777
202,0.0559,0.95,-0.1511,3.0389,2.3969
203,0.0562,0.9502,-0.1525,3.0389,2.4086
204,0.0555,0.9497,-0.1602,3.0391,2.37
205,0.0553,0.9468,-0.1668,3.0392,2.3682
206,0.0555,0.9509,-0.1586,3.0391,2.3869
207,0.0558,0.9496,-0.1622,3.039,2.3893
208,0.056,0.9523,-0.1562,3.0389,2.4036
209,0.0555,0.9499,-0.1751,3.0392,2.3714
210,0.0557,0.9522,-0.1586,3.0392,2.3616
211,0.0552,0.9485,-0.1811,3.0393,2.3787
212,0.0555,0.9487,-0.1529,3.039,2.3839
213,0.0564,0.9536,-0.1256,3.0388,2.398
214,0.0543,0.9469,-0.1846,3.0394,2.3626
215,0.0561,0.9468,-0.1367,3.0389,2.3835
216,0.0556,0.951,-0.159,3.039,2.3872
217,0.0557,0.9442,-0.1533,3.039,2.3811
218,0.0552,0.9478,-0.1566,3.039,2.4037
219,0.0556,0.9496,-0.1595,3.0389,2.4049
220,0.0551,0.9427,-0.1865,3.0393,2.3554
221,0.0556,0.9535,-0.1796,3.0389,2.4042
222,0.0556,0.9513,-0.1324,3.0389,2.4027
223,0.0556,0.952,-0.1702,3.0389,2.4113
224,0.0548,0.9521,-0.1793,3.0394,2.3563
225,0.0551,0.9473,-0.1873,3.0391,2.3844
226,0.056,0.9513,-0.1419,3.039,2.3761
227,0.0557,0.9484,-0.1567,3.0388,2.4035
228,0.0551,0.9458,-0.181,3.0391,2.3953
229,0.0554,0.9475,-0.1763,3.0391,2.3775
230,0.0557,0.9493,-0.1259,3.0389,2.4113
231,0.0558,0.947,-0.1506,3.039,2.3799
232,0.0563,0.9526,-0.1438,3.0389,2.404
233,0.0561,0.9529,-0.1471,3.0388,2.4135
234,0.0561,0.9533,-0.1532,3.039,2.3897
235,0.0553,0.9503,-0.1747,3.0391,2.3798
236,0.0545,0.9452,-0.1933,3.0393,2.378
237,0.0556,0.9505,-0.1585,3.039,2.3957
238,0.0554,0.9528,-0.158,3.0391,2.3886
239,0.056,0.9489,-0.1376,3.0389,2.3979
240,0.0555,0.9467,-0.164,3.0391,2.3718
241,0.056,0.9536,-0.1537,3.0388,2.4051
242,0.0555,0.9463,-0.1695,3.0389,2.3972
243,0.0559,0.9517,-0.1608,3.0389,2.4254
244,0.0555,0.951,-0.151,3.0389,2.4047
245,0.0555,0.9515,-0.1536,3.039,2.3978
246,0.0555,0.9495,-0.167,3.039,2.3953
247,0.0558,0.9479,-0.163,3.039,2.386
248,0.0551,0.9504,-0.149,3.0391,2.3842
249,0.0556,0.9561,-0.1615,3.0391,2.4084
250,0.0562,0.9547,-0.1554,3.0387,2.4228
251,0.0561,0.9527,-0.1429,3.0388,2.4111
252,0.0556,0.9491,-0.163,3.0391,2.3857
253,0.055,0.9463,-0.1813,3.0393,2.3585
254,0.0556,0.9449,-0.1575,3.039,2.385
255,0.0555,0.9489,-0.1495,3.0389,2.4167
256,0.0556,0.95,-0.1571,3.0391,2.3668
257,0.0558,0.953,-0.1603,3.039,2.3978
258,0.0554,0.9471,-0.1714,3.039,2.3815
259,0.0553,0.9493,-0.1519,3.039,2.3983
260,0.0559,0.9483,-0.1552,3.0389,2.3813
261,0.0558,0.9528,-0.1513,3.039,2.3898
262,0.0547,0.943,-0.1741,3.0393,2.3682
263,0.0555,0.9505,-0.164,3.0391,2.3851
264,0.0543,0.9514,-0.1671,3.0394,2.3705
265,0.0551,0.9481,-0.172,3.0391,2.379
266,0.0553,0.9517,-0.1642,3.0392,2.3921
267,0.0559,0.9509,-0.1424,3.039,2.3918
268,0.0558,0.9501,-0.1437,3.039,2.4034
269,0.0551,0.9469,-0.1718,3.0391,2.3695
270,0.055,0.9441,-0.177,3.0393,2.3658
271,0.0559,0.9495,-0.1658,3.0389,2.4006
272,0.0545,0.9495,-0.1684,3.0393,2.3618
273,0.0546,0.9517,-0.1889,3.0394,2.3839
274,0.0553,0.9459,-0.1651,3.039,2.3938
275,0.0559,0.9491,-0.1633,3.0392,2.3614
276,0.0559,0.9489,-0.167,3.0391,2.3814
277,0.0555,0.9524,-0.1685,3.0391,2.4
278,0.0551,0.9481,-0.176,3.0394,2.3554
279,0.055,0.9506,-0.1676,3.0392,2.3781
280,0.0548,0.9447,-0.165,3.0393,2.368
281,0.0549,0.9481,-0.1899,3.0394,2.3456
282,0.0555,0.9483,-0.1411,3.039,2.3882
283,0.0556,0.9488,-0.1666,3.039,2.3895
284,0.0892,0.8662,-0.1525,2.6399,1.786
285,0.0553,0.9454,-0.1545,3.0392,2.365
286,0.0539,0.9462,-0.1878,3.0394,2.3657
287,0.0559,0.9508,-0.1601,3.039,2.3947
288,0.0553,0.9493,-0.1569,3.0391,2.3738
289,0.0546,0.9482,-0.1768,3.0393,2.3665
290,0.056,0.9525,-0.1483,3.0388,2.4146
291,0.0551,0.9451,-0.1648,3.0393,2.3495
292,0.0558,0.9519,-0.1526,3.039,2.4041
293,0.0555,0.949,-0.1683,3.0392,2.3744
294,0.0559,0.9492,-0.169,3.039,2.3933
295,0.0559,0.9485,-0.1592,3.0388,2.4265
296,0.0551,0.9506,-0.1812,3.0392,2.3809
297,0.0558,0.948,-0.1702,3.0389,2.4061
298,0.0556,0.9479,-0.1632,3.0389,2.4077
299,0.056,0.9517,-0.1477,3.039,2.3998
300,0.0555,0.9496,-0.1742,3.0392,2.3757
301,0.056,0.9505,-0.1638,3.0389,2.4155
302,0.056,0.9517,-0.1494,3.039,2.3753
303,0.055,0.9507,-0.1797,3.0392,2.3931
304,0.0554,0.9501,-0.1657,3.0391,2.3721
305,0.0552,0.9494,-0.1676,3.0392,2.3727
306,0.0553,0.9461,-0.1782,3.0392,2.3751
307,0.0554,0.9517,-0.159,3.0389,2.4059
308,0.0553,0.9497,-0.1606,3.0391,2.3839
309,0.0558,0.9492,-0.1467,3.039,2.3934
310,0.0557,0.9523,-0.1617,3.039,2.3999
311,0.0553,0.9484,-0.1836,3.0391,2.3978
312,0.0551,0.9491,-0.166,3.0391,2.394
313,0.0556,0.9505,-0.158,3.0389,2.4137
314,0.0555,0.9524,-0.1664,3.0392,2.3832
315,0.0549,0.9516,-0.1712,3.0392,2.3773
316,0.0559,0.9476,-0.1716,3.0389,2.402
317,0.0555,0.9485,-0.1742,3.0389,2.4139
318,0.0556,0.9493,-0.177,3.0391,2.3804
319,0.0558,0.9499,-0.1658,3.0389,2.4047
320,0.056,0.9521,-0.1662,3.0389,2.4095
321,0.0558,0.9444,-0.1502,3.039,2.3869
322,0.0557,0.9502,-0.1607,3.0389,2.4161
323,0.0554,0.9554,-0.1764,3.0392,2.393
324,0.0555,0.9475,-0.1671,3.0391,2.3831
325,0.0562,0.9513,-0.1605,3.0388,2.4161
326,0.0554,0.9469,-0.1757,3.0391,2.388
327,0.0554,0.9515,-0.1516,3.039,2.3804
328,0.0552,0.9494,-0.1618,3.0391,2.3861
329,0.0557,0.9514,-0.1643,3.039,2.3971
330,0.0553,0.9482,-0.1642,3.0391,2.3827
331,0.0554,0.9481,-0.1587,3.039,2.3849
332,0.0557,0.9507,-0.15,3.039,2.3931
333,0.0556,0.9451,-0.1632,3.0391,2.3745
334,0.0558,0.9527,-0.1617,3.0389,2.4127
335,0.0549,0.9506,-0.1711,3.0392,2.3911
336,0.0554,0.9485,-0.1757,3.039,2.3896
337,0.0557,0.9522,-0.1428,3.0391,2.3994
338,0.0557,0.9504,-0.1477,3.0389,2.4098
339,0.0556,0.9491,-0.1709,3.039,2.3988
340,0.0556,0.9499,-0.1793,3.039,2.4014
341,0.0561,0.9515,-0.1544,3.0388,2.4199
342,0.056,0.9501,-0.1527,3.039,2.3834
343,0.0552,0.9491,-0.1661,3.0392,2.3684
344,0.0558,0.9486,-0.1577,3.0391,2.3715
345,0.0556,0.9508,-0.1503,3.0391,2.3851
346,0.0558,0.9527,-0.1528,3.039,2.4075
347,0.0557,0.9487,-0.1595,3.0389,2.4133
348,0.056,0.9479,-0.151,3.039,2.3852
349,0.0548,0.9478,-0.1814,3.0391,2.3918
350,0.0551,0.9492,-0.1713,3.0392,2.367
351,0.056,0.952,-0.1439,3.0389,2.4115
352,0.0562,0.9532,-0.1486,3.0389,2.3889
353,0.0558,0.9511,-0.1552,3.039,2.3939
354,0.0551,0.9465,-0.1826,3.0391,2.371
355,0.0552,0.949,-0.1721,3.0391,2.408
356,0.0556,0.9506,-0.1657,3.0389,2.4123
357,0.0557,0.9494,-0.1483,3.039,2.3947
358,0.0559,0.9548,-0.1455,3.039,2.4082
359,0.0551,0.95,-0.1638,3.0391,2.3874
360,0.0552,0.949,-0.1675,3.0392,2.3895
361,0.056,0.9532,-0.1557,3.039,2.3979
362,0.0561,0.9533,-0.1491,3.039,2.3912
363,0.0554,0.9508,-0.1631,3.039,2.3919
364,0.0556,0.9488,-0.1591,3.039,2.3922
365,0.055,0.9497,-0.1785,3.0391,2.3812
366,0.0561,0.9512,-0.1671,3.0389,2.4025
367,0.0549,0.9489,-0.1593,3.0392,2.3714
368,0.0556,0.9474,-0.1586,3.0389,2.4005
369,0.0558,0.9488,-0.1637,3.0389,2.4254
370,0.0554,0.9498,-0.1596,3.0392,2.3854
371,0.0554,0.9496,-0.1749,3.0391,2.389
372,0.056,0.9511,-0.1443,3.0389,2.4032
373,0.0552,0.9502,-0.1678,3.0392,2.3806
374,0.0558,0.9471,-0.1646,3.039,2.3801
375,0.0557,0.9474,-0.1665,3.0391,2.3743
376,0.0556,0.9504,-0.1685,3.0391,2.379
377,0.0555,0.9513,-0.1708,3.0392,2.3804
378,0.0556,0.9504,-0.1683,3.039,2.3985
379,0.0551,0.9498,-0.1763,3.0392,2.3723
380,0.0556,0.9454,-0.1629,3.0389,2.4014
381,0.0549,0.9443,-0.1829,3.0391,2.3934
382,0.055,0.9471,-0.1819,3.0391,2.3866
383,0.0556,0.9504,-0.1599,3.0391,2.3841
384,0.055,0.9512,-0.1806,3.0392,2.3859
385,0.0557,0.9489,-0.1681,3.039,2.3982
386,0.0557,0.9473,-0.1379,3.0389,2.3945
387,0.0558,0.9475,-0.1617,3.0389,2.3931
388,0.0556,0.9486,-0.1338,3.039,2.3904
389,0.0555,0.9477,-0.1658,3.0391,2.3771
390,0.0553,0.948,-0.1653,3.0391,2.3716
391,0.0552,0.9517,-0.1672,3.0392,2.392
392,0.0556,0.9499,-0.149,3.0391,2.3934
393,0.0556,0.949,-0.1579,3.0391,2.3929
394,0.0549,0.949,-0.1827,3.0392,2.4083
395,0.056,0.9491,-0.1405,3.0388,2.4165
396,0.0557,0.9495,-0.1648,3.039,2.3863
397,0.0554,0.9517,-0.1647,3.0391,2.3806
398,0.0561,0.954,-0.1616,3.039,2.3899
399,0.0555,0.9474,-0.162,3.0391,2.3909
400,0.0559,0.9514,-0.1606,3.0388,2.4159
401,0.0554,0.9496,-0.169,3.039,2.387
