,Unnamed: 0,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
142,18,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,1.22,,Stanford,15.3,±5,CH,1516, ±1.5,124
143,62,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,76.86,1.88,CCCCCCCCCCCC,2.14,430.0,Speceis,21.0,5.04,±9.3,Stanford,15.3,,CH,979,±1,306
144,383,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1.0,CCCC,1.0,431.0,Speceis,6.5,1.99,±1,Stanford,15.3,±5,CH,1407,±1,297
145,115,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1141,,680
146,40,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431.0,Species,4.4,1.22,,Stanford,15.3,±5,CH,1492,±1,141
147,158,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,1.23,,Stanford,15.3,±5,CH,1434, ±1.5,320
149,104,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,78.55,1.0,CCCCCCC,1.75,431.0,Species,19.7,1.19,,Stanford,15.3,±5,CH,1329,±1,382
150,196,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.85,0.91,CCCCCCCCCCCCCCCC,0.15,431.0,Species,4.0,1.83,,Stanford,15.3,±2,CH,1247,±2,2060
151,175,blend_surrogate_fuels,N2,77.53,1.0,CCCCCCC,1.87,306.7,Species,20.6,1.89,,Stanford,5.0,,OH,1299,±1.8,311
152,364,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,95.75,2.0,CCCC,1.0,431.0,Speceis,3.25,1.13,±1,Stanford,15.3,±5,CH,1618,±1,218
