features,VIF Factor
CRIM,1.580347053378863
ZN,
INDUS,inf
CHAS,
NOX,2.393819817232086
RM,1.419536052660618
AGE,1.6305795973730073
DIS,2.4478891727157643
RAD,inf
TAX,inf
PTRATIO,inf
B,1.2659080020892883
LSTAT,1.7322636843830876
