,0,1,2
0,0.9999999962494082,0.0,3.750591891694571e-09
1,1.0,0.0,4.099122813723198e-19
2,1.0,0.0,8.576369519155748e-26
3,1.765907854738393e-07,0.0,0.9999998234092149
4,6.298921826212614e-05,0.0,0.9999370107817387
5,1.0,0.0,8.182374416036468e-26
6,4.469243850850522e-26,1.0,1.5566774406876797e-58
7,2.1262050518392907e-24,1.0,9.134244923087064e-50
8,2.9791517238521017e-07,0.0,0.9999997020848284
9,1.0,0.0,2.597633075959811e-22
10,2.218442480172736e-06,0.0,0.9999977815575201
11,7.779356443065223e-25,1.0,6.836822599687082e-51
12,1.0,0.0,1.5436994534257153e-20
13,5.01736994636079e-07,0.0,0.9999994982630047
14,1.4780583038024226e-06,0.0,0.9999985219416966
15,8.094305065186985e-32,1.0,5.552713572460262e-64
16,1.0,0.0,1.25789057090299e-20
17,1.0,0.0,5.4272618586559665e-25
18,1.0,0.0,9.346882077886804e-26
19,1.0,0.0,2.637384018231355e-44
20,1.0,0.0,1.996237873609824e-20
21,2.9067797432208182e-24,1.0,1.4717716059297128e-49
22,1.0,0.0,9.6820703101228e-45
23,0.9999999999999991,0.0,6.925173101568485e-16
24,1.0,0.0,3.414991337216973e-25
25,1.0,0.0,2.2188990089920094e-46
26,1.0,0.0,1.3211392436549042e-24
27,0.00010462912434274583,0.0,0.9998953708756576
28,1.0,0.0,4.5236155559358637e-23
29,1.8933390649483597e-06,0.9999981066609349,3.464177318737885e-41
30,1.0,0.0,2.4773327640206813e-19
31,1.0,0.0,3.778620282140013e-26
32,1.0,1.6896890151861225e-126,4.1177337613008e-54
33,5.447568009996141e-07,0.0,0.9999994552431994
34,0.9999999999999991,0.0,1.2276170468412056e-15
35,0.9999999999999805,0.0,1.958193692093028e-14
36,0.9999999974336014,0.0,2.5663983655090654e-09
37,1.0,3.1531970818317074e-126,2.5707741653702606e-53
38,1.2432051342469895e-18,1.0,8.206182477106593e-44
39,1.0,0.0,3.31112625050856e-44
40,0.999999999999984,0.0,1.5751566506875823e-14
41,1.0,0.0,6.952088483186643e-47
42,1.0,0.0,3.717767552738177e-19
43,5.228060521595009e-20,1.0,8.084462438327231e-45
44,1.0,0.0,3.516365180226127e-19
45,1.0,0.0,2.5426244625724883e-46
46,2.8279182319409255e-06,0.999997172081768,2.0587793676109984e-41
47,1.0,0.0,5.361288787171775e-49
