,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
49,95.58,1.0,CCCCCC,0.42,4.0,3.43,1407,263
60,95.58,1.0,CCCCCC,0.42,4.0,3.1,1250,1805
