,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
28,99.505,1.0,CCCCCCCCCC,0.03,0.465,2.19,1479,375
62,96.7,1.0,CCCCCCCCCC,0.2,3.1,2.2,1404,238
