,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
0,92.5,1.0,CCCC,1.0,6.5,1.13,1557,87
6,86.0,0.5,CCCC,1.0,13.0,1.07,1453,96
12,92.86,1.0,CCCC,0.95,6.19,1.24,1585,70
16,92.5,1.0,CCCC,1.0,6.5,3.75,1433,151
28,92.5,1.0,CCCC,1.0,6.5,3.81,1399,243
31,86.0,0.5,CCCC,1.0,13.0,1.14,1352,307
48,92.5,1.0,CCCC,1.0,6.5,2.0,1454,170
61,95.75,2.0,CCCC,1.0,3.25,1.13,1618,218
62,95.75,2.0,CCCC,1.0,3.25,1.13,1577,304
