Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,1.24,,Stanford,15.3,±5,CH,1445, ±1.5,290
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306.0,Species,20.89,18.9,,Stanford,5.0,±5,OH,1049,±1,839
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1.0,CCCCCCCC,0.32,306.0,Species,4.0,1.95,±1,Stanford,14.13,±3,OH,1325,±0.7,859
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.65,0.31,CCCCCCCCCCCC,0.35,430.0,Speceis,21.0,4.79,±9.3,Stanford,15.3,,CH,1241,±1,337
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,5.68,,Stanford,15.3,±5,CH,1375,±1,271
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,5.57,,Stanford,15.3,±5,CH,1372,±1,279
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1.0,CCCCCCCC,0.32,306.0,Species,4.0,3.37,±1,Stanford,14.13,±3,OH,1282,±0.7,1020
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.79,0.5,CCCCCC,0.21,306.0,Species,4.0,1.76,±1,Stanford,14.13,±3,OH,1274,±0.7,1225
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.44,0.5,CCCCCCCCCCCC,0.56,430.0,Speceis,21.0,6.56,±9.3,Stanford,15.3,,CH,1053,±1,2105
n_Alkane_Oxidation,Ar,99.51,1.0,CCCCCCCCCC,0.03,431.0,Species,0.47,2.19,,Stanford,8.9,±5,CH,1479, ±1.5,375
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1.0,CCCC,1.0,431.0,Speceis,6.5,3.8,±1,Stanford,15.3,±5,CH,1415,±1,189
n_Alkane_Oxidation,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,2.2,,Stanford,8.9,±5,CH,1404, ±1.5,238
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.88,0.72,CCCCCCCCCCCCCCCC,0.12,431.0,Species,4.0,1.94,,Stanford,15.3,±2,CH,1266,±2,1122
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.0,1.5,CCCCCCC,1.2,431.0,Species,8.8,1.14,,Stanford,15.3,±5,CH,1465,±1,189
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.71,1.14,CCCCCCCCCCCC,1.29,430.0,Speceis,21.0,5.82,±9.3,Stanford,15.3,,CH,964,±1,1175
n_Dodecane_Nano,N2,78.79,0.18,CCCCCCCCCCCC,0.21,430.0,Speceis,21.0,7.1,,Stanford,15.3,,CH,1187,,793
n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306.0,Species,20.89,19.6,,Stanford,5.0,±5,OH,1087,±1,527
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1126,,1069
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.87,0.79,CCCCCCCCCCCCCCCC,0.13,431.0,Species,4.0,2.08,,Stanford,15.3,±2,CH,1165,±2,4548
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.86,0.5,CCCCCCCCC,0.14,306.0,Species,4.0,1.82,±1,Stanford,14.13,±3,OH,1470,±0.7,93
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1.0,CCCCCCC,1.2,431.0,Species,13.2,1.3,,Stanford,15.3,±5,CH,1335,±1,466
n_Dodecane / Vasu_2010_thesis,N2,78.11,1.0,CCCCCCCCCCCC,1.12,306.0,Species,20.77,22.1,,Stanford,5.0,±5,OH,1036,±1,432
