features,VIF Factor
ZN,
INDUS,inf
CHAS,
NOX,2.547392158116897
RM,1.416243429914292
AGE,1.546030410864106
DIS,2.4572125247415952
RAD,inf
TAX,inf
PTRATIO,inf
B,1.3634388961844435
LSTAT,1.7135574095097466
