,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
55,n_Dodecane_Nano,N2,99.2,1,CCCCCCCCCCCC,0.05,430,Speceis,0.75,2.24,,Stanford,15.3,,CH,1528,,116
56,n_Dodecane_Nano,N2,78.61,0.34,CCCCCCCCCCCC,0.39,430,Speceis,21,7.53,,Stanford,15.3,,CH,1243,,130
57,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.86,0.5,CCCCCCCCC,0.14,306,Species,4,1.67,±1,Stanford,14.13,±3,OH,1403,±0.7,190
62,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,76.86,1.88,CCCCCCCCCCCC,2.14,430,Speceis,21,5.04,±9.3,Stanford,15.3,,CH,979,±1,306
63,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1238,,109
66,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.19,±1,Stanford,15.3,±5,CH,1490,±1,100
71,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.79,0.18,CCCCCCCCCCCC,0.21,430,Speceis,21,4.51,±9.3,Stanford,15.3,,CH,1351,±1,233
73,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1187,,395
77,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.3,0.61,CCCCCCCCCCCC,0.7,430,Speceis,21,8.24,±9.3,Stanford,15.3,,CH,1124,±1,702
78,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.37,0.55,CCCCCCCCCCCC,0.63,430,Speceis,21,5.92,±9.3,Stanford,15.3,,CH,1345,±1,123
80,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,1.24,,Stanford,15.3,±5,CH,1456, ±1.5,235
