,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,y_pred,y_act
6,1.0,2.991724252156452,0.6280751838162305,3.0252910757955354,0.11764705882352941,1.1764705882352942,7.805487885638875,7.410347097821024
7,1.0,4.0943445622221,0.6280751838162305,3.0252910757955354,0.10834236186348863,1.0834236186348862,5.943975740332379,5.497168225293202
11,1.0,3.9871304779149512,0.6280751838162305,3.0252910757955354,0.11001100110011001,1.1001100110011002,6.188595896924929,5.537334267018537
15,1.0,2.995732273553991,0.6280751838162305,3.0252910757955354,0.12406947890818859,1.2406947890818858,8.336379362923987,7.227662498728654
21,1.0,4.104294893075269,0.6280751838162305,3.0252910757955354,0.1079913606911447,1.079913606911447,5.904939186974881,5.4510384535657
29,1.0,2.329227023940467,0.6280751838162305,3.0252910757955354,0.0744047619047619,0.7440476190476191,4.857285973596078,4.442651256490317
38,1.0,3.9721769282478934,0.6280751838162305,3.0252910757955354,0.09407337723424271,0.940733772342427,4.876091429725074,5.187385805840755
43,1.0,4.079230924412053,0.6280751838162305,3.0252910757955354,0.09737098344693282,0.9737098344693281,5.04520425661606,5.4680601411351315
46,1.0,2.327277705584417,0.6280751838162305,3.0252910757955354,0.07698229407236336,0.7698229407236336,5.073856810541303,4.804021044733257
48,1.0,3.912023005428146,0.6280751838162305,3.0252910757955354,0.0946073793755913,0.9460737937559129,4.979843909686875,5.267858159063328
64,1.0,2.9892110565637253,0.6280751838162305,3.0252910757955354,0.11037527593818984,1.1037527593818985,7.2023906535375835,7.515344571180436
67,1.0,2.362739015813793,0.6280751838162305,3.0252910757955354,0.07662835249042145,0.7662835249042146,5.009434078437396,4.762173934797756
69,1.0,4.055257173514054,0.6280751838162305,3.0252910757955354,0.09930486593843098,0.9930486593843099,5.229879009817231,5.44673737166631
70,1.0,3.9569963710708773,0.6280751838162305,3.0252910757955354,0.08968609865470852,0.8968609865470852,4.525691559224393,4.624972813284271
72,1.0,2.8975680247667595,0.6280751838162305,3.0252910757955354,0.09881422924901186,0.9881422924901185,6.329933659316025,6.8501261661455
74,1.0,2.468099531471619,0.6280751838162305,3.0252910757955354,0.07751937984496124,0.7751937984496124,4.979802600655331,4.770684624465665
76,1.0,3.9815490680767565,0.6280751838162305,3.0252910757955354,0.09871668311944719,0.9871668311944719,5.253536797453023,5.676753802268282
79,1.0,2.419478844465545,0.6280751838162305,3.0252910757955354,0.08090614886731391,0.8090614886731392,5.309759521254685,5.332718793265369
81,1.0,2.8166056076565553,0.6280751838162305,3.0252910757955354,0.09541984732824428,0.9541984732824428,6.127048122558665,6.74993119378857
88,1.0,3.883623530906448,0.6280751838162305,3.0252910757955354,0.10152284263959391,1.015228426395939,5.583732553556071,5.8971538676367405
113,1.0,1.5953389880545987,0.9427379018890034,3.044522437723423,0.05328218243819267,0.8525149190110827,5.767277479373468,6.856461984594587
114,1.0,1.6370530794670737,0.36464311358790924,3.044522437723423,0.057816836262719704,0.9250693802035153,6.653340319873386,7.4360278163518485
115,1.0,1.5830939370944985,0.4014570867106256,3.044522437723423,0.05526083112290009,0.8841732979664014,6.347065453962605,7.132497551660044
116,1.0,1.6389967146756448,0.6392188385343897,3.044522437723423,0.05415944540727903,0.8665511265164645,6.011824193518849,6.825460036255307
117,1.0,1.5173226235262947,0.38662202030668447,3.044522437723423,0.0563570784490532,0.9017132551848512,6.5655108464400245,7.213768308118642
174,1.0,1.8293763327993617,-0.2781278596469693,3.044522437723423,0.040032025620496396,0.800640512409928,5.78381481938654,4.736198448394496
175,1.0,3.292126286607793,0.11600367575630613,3.033509637888021,0.061124694376528114,1.2224938875305624,7.892644541538983,6.78105762593618
176,1.0,1.8421356765531218,0.5888971591861462,3.044522437723423,0.05324813631522897,1.0649627263045793,7.46663606341502,6.298949246855942
178,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.040032025620496396,0.800640512409928,5.87244852597083,4.430816798843313
180,1.0,3.1484533605716547,0.11600367575630613,3.033509637888021,0.06082725060827251,1.2165450121654502,7.985063552597777,6.690842277418564
182,1.0,3.2188758248682006,-0.5709295478356962,3.0392705755684744,0.062034739454094295,1.2406947890818858,8.353474767349088,7.3277805384216315
184,1.0,3.258096538021482,-0.5709295478356962,3.0392705755684744,0.06693440428380187,1.3386880856760375,9.124811945774356,7.715569534520208
185,1.0,1.8594181177018698,-0.18922533311074907,3.044522437723423,0.03894080996884735,0.778816199376947,5.52362885725971,4.382026634673881
188,1.0,2.018895041811802,-0.941608539858445,3.044522437723423,0.04022526146419952,0.8045052292839904,6.003517431136882,4.867534450455582
190,1.0,1.8656293177945105,0.688134638736401,3.044522437723423,0.05060728744939271,1.0121457489878543,6.950891270033666,5.560681631015528
191,1.0,1.6174060820832772,0.7598708126028534,3.044522437723423,0.05107252298263534,1.0214504596527068,7.2319335775495555,5.723585101952381
192,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.04038772213247173,0.8077544426494345,5.931250601414071,4.6913478822291435
193,1.0,1.8562979903656263,-0.6616485135005743,3.044522437723423,0.04681647940074907,0.9363295880149812,7.095352028244333,7.661997558901893
194,1.0,3.517497837358316,0.11600367575630613,3.033509637888021,0.044722719141323794,0.8944543828264758,4.959041313555906,5.209486152841421
195,1.0,1.506297153514587,-1.5779392453747294,3.044522437723423,0.037009622501850484,0.7401924500370096,6.336297405616692,5.4510384535657
196,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.04212299915754002,0.8424599831508003,6.218118442699129,5.978885764901122
198,1.0,2.1090003439213802,-0.36068296533627114,3.044522437723423,0.04448398576512456,0.8896797153024911,6.290821641614562,6.553933404025811
199,1.0,1.7783364488959144,-0.46251176348744,3.044522437723423,0.03717472118959108,0.7434944237918215,5.465842399100878,4.812184355372417
201,1.0,1.803358605071407,-0.5516476182862459,3.044522437723423,0.043859649122807015,0.8771929824561403,6.596620264496211,6.709304340258298
202,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.04084967320261438,0.8169934640522876,6.007618180974418,5.53338948872752
203,1.0,3.104586678466073,0.11600367575630613,3.033509637888021,0.04926108374384237,0.9852216748768473,6.116230239026859,6.230481447578482
204,1.0,3.054001181677967,-0.5709295478356962,3.0392705755684744,0.04299226139294927,0.8598452278589854,5.367947309495597,5.3612921657094255
205,1.0,1.7387102481382397,-0.6045870035804651,3.044522437723423,0.048216007714561235,0.9643201542912246,7.410388467972391,7.865955413933502
206,1.0,1.8229350866965048,-0.6281087843807232,3.044522437723423,0.042662116040955635,0.8532423208191127,6.422518715228624,6.261491684321042
207,1.0,1.7613002617433464,0.2538667239570503,3.044522437723423,0.05186721991701245,1.037344398340249,7.507135869153474,7.069023426578259
208,1.0,1.6213664832993742,-1.067986095126349,3.044522437723423,0.04194630872483222,0.8389261744966443,6.751140251467213,7.01211529430638
209,1.0,3.044522437723423,-0.5709295478356962,3.0392705755684744,0.04812319538017324,0.9624639076034649,6.2255105899204,6.716594773520978
210,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.04512635379061372,0.9025270758122743,6.7146189136653875,7.199678345691172
211,1.0,1.3887912413184778,-0.5698681643997741,3.044522437723423,0.04363001745200698,0.8726003490401396,6.97750403473798,6.934397209928558
212,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.042625745950554135,0.8525149190110827,6.301230179408299,6.163314804034641
213,1.0,3.1354942159291497,0.11600367575630613,3.033509637888021,0.04508566275924256,0.9017132551848512,5.395509599827359,5.627621113690637
215,1.0,2.928523523860541,0.11600367575630613,3.033509637888021,0.044444444444444446,0.8888888888888888,5.49347796109135,5.236441962829949
216,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.04382120946538125,0.8764241893076249,6.498858588520674,6.522092798170152
218,1.0,1.843719208158766,-0.5700449834259619,3.044522437723423,0.04604051565377532,0.9208103130755064,6.927760300251697,7.259819610363186
219,1.0,2.91235066461494,-0.5709295478356962,3.0392705755684744,0.04621072088724584,0.9242144177449169,6.039605818741851,6.338594078203183
220,1.0,1.5830939370944985,-0.9023878267051636,3.044522437723423,0.05122950819672131,1.0245901639344261,8.230034034284355,8.735525185733225
221,1.0,1.843719208158766,-0.688557728226138,3.044522437723423,0.04638218923933209,0.9276437847866419,7.051143792830557,7.392647520721623
222,1.0,1.8825138324965192,0.16466662155523393,3.044522437723423,0.04945598417408507,0.9891196834817013,7.0394174369081295,7.003065458786462
223,1.0,2.1400661634962708,-0.37323996081342753,3.044522437723423,0.04488330341113106,0.8976660682226212,6.333307637954587,6.461468176353717
224,1.0,2.081938421878423,-0.23939997383373254,3.044522437723423,0.046125461254612546,0.922509225092251,6.520389025600357,6.6039438246004725
226,1.0,1.8809906029559975,-0.5711065546509208,3.044522437723423,0.04748338081671415,0.949667616334283,7.130155927229144,7.652070746116482
227,1.0,2.064327903869788,0.024302292522964817,3.044522437723423,0.04284490145672665,0.856898029134533,5.846559532448383,5.3706380281276624
229,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.043668122270742356,0.8733624454148472,6.473550933074297,6.405228458030842
230,1.0,1.534714366238164,-1.6820086052689358,3.044522437723423,0.0413564929693962,0.8271298593879239,7.0856426004315685,6.8308742346461795
233,1.0,2.0906287310704004,-0.23559575925344942,3.044522437723423,0.044762757385854966,0.8952551477170994,6.2844013933094995,6.021023349349527
234,1.0,1.6505798557652755,0.2468600779315258,3.044522437723423,0.053022269353128315,1.0604453870625663,7.811154414762872,8.24380842366528
235,1.0,3.091042453358316,0.11600367575630613,3.033509637888021,0.05065856129685917,1.0131712259371835,6.360602620317575,6.54965074223381
237,1.0,3.4307561839036995,-0.5709295478356962,3.0392705755684744,0.044762757385854966,0.8952551477170994,5.28934179513616,5.583496308781699
240,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.04180602006688963,0.8361204013377926,6.165716949361892,5.43372200355424
242,1.0,3.0252910757955354,0.11600367575630613,3.033509637888021,0.04405286343612335,0.8810572687224669,5.333378298961751,5.181783550292085
243,1.0,1.9021075263969205,-0.5621189181535413,3.044522437723423,0.042625745950554135,0.8525149190110827,6.301230179408299,6.163314804034641
244,1.0,3.0007198150650303,-0.5709295478356962,3.0392705755684744,0.04743833017077799,0.9487666034155597,6.155459788283804,6.669498089857879
245,1.0,1.7544036826842861,-0.7776163371863952,3.044522437723423,0.03790750568612585,0.7581501137225171,5.788443196936389,5.198497031265826
