,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,y_pred,y_act
3,1.0,0.712949807856125,-3.506557897319982,-1.1086626245216111,0.06097560975609756,0.6097560975609756,4.697079223215478,4.59511985013459
4,1.0,0.4762341789963717,-2.995732273553991,-0.5978370007556204,0.0646830530401035,0.6468305304010349,5.4961043786359065,5.087596335232384
8,1.0,0.7608058290337602,-3.506557897319982,-1.1086626245216111,0.06447453255963895,0.6447453255963894,5.44638205149631,5.332718793265369
10,1.0,1.33500106673234,-3.506557897319982,-1.1086626245216111,0.06064281382656155,0.6064281382656155,4.387870059077047,4.290459441148391
13,1.0,0.8586616190375187,-3.506557897319982,-1.1086626245216111,0.06640106241699867,0.6640106241699867,5.8318001355905755,5.241747015059643
14,1.0,1.3217558399823195,-3.506557897319982,-1.1086626245216111,0.05847953216374269,0.5847953216374269,3.918392192782713,3.8918202981106265
27,1.0,0.5423242908253617,-2.995732273553991,-0.5978370007556204,0.07168458781362007,0.7168458781362007,7.006767581838387,6.777646593635117
33,1.0,0.8250522514398839,-3.506557897319982,-1.1086626245216111,0.07272727272727272,0.7272727272727273,7.232192430932112,7.415175109613295
65,1.0,0.8903573498476506,-3.506557897319982,-1.1086626245216111,0.07363770250368189,0.7363770250368189,7.4070933672818455,7.154615356913663
68,1.0,0.8441500540964727,-3.506557897319982,-1.1086626245216111,0.07256894049346879,0.7256894049346879,7.190210854024711,7.1929342212158
75,1.0,0.5128236264286637,-2.995732273553991,-0.5978370007556204,0.06844626967830253,0.6844626967830253,6.307657297511963,5.902633333401366
91,1.0,0.767790723555711,-3.506557897319982,-1.1086626245216111,0.06693440428380187,0.6693440428380187,5.983293039798468,7.1929342212158
95,1.0,1.0508216248317612,-3.506557897319982,-1.1086626245216111,0.07309941520467836,0.7309941520467836,7.228088992229379,7.501082124259871
96,1.0,0.7929925155296614,-3.506557897319982,-0.7657178733947807,0.040983606557377046,0.6557377049180327,5.374923809562571,5.0369526024136295
97,1.0,0.7466879474879751,-3.506557897319982,-0.5418004280654213,0.04274965800273598,0.6839945280437757,5.664828488622027,5.327876168789581
99,1.0,0.4762341789963717,-3.3104430183936913,-0.20702416943432653,0.04101049868766404,0.6561679790026247,4.884870987290642,4.969813299576001
101,1.0,0.8109302162163288,-3.506557897319982,-0.9480394301887354,0.03901373283395755,0.6242197253433208,4.956487586579813,4.820281565605037
102,1.0,0.7323678937132266,-3.506557897319982,-0.7657178733947807,0.03762793497892836,0.6020469596628537,4.19993491166991,4.465908118654584
103,1.0,0.7514160886839212,-3.506557897319982,-0.7657178733947807,0.03970775095298602,0.6353240152477764,4.935217821954244,4.77912349311153
105,1.0,0.5187937934151675,-3.3298073855754824,-0.20702416943432653,0.04522431259044862,0.723589001447178,6.346055671457832,6.431331081933479
110,1.0,0.5247285289349821,-3.3991993789994823,-0.20702416943432653,0.04709871891484552,0.7535795026375283,6.916123631015776,7.002155954403621
111,1.0,0.7839015438284094,-3.506557897319982,-0.7657178733947807,0.042258282623394185,0.676132521974307,5.833448632072459,5.926926025970411
120,1.0,0.7227059828014898,-2.995732273553991,-1.1239300966523995,0.15644555694618273,0.6257822277847309,4.8348252785156625,4.969813299576001
177,1.0,0.8109302162163288,-2.995732273553991,-0.2876820724517809,0.033852403520649964,0.6770480704129993,5.877418070771376,5.375278407684165
179,1.0,0.7371640659767196,-3.0576076772720784,-0.2876820724517809,0.031017369727047148,0.6203473945409429,4.546734790699149,4.382026634673881
181,1.0,0.7747271675523681,-3.123565645063876,-0.2876820724517809,0.032552083333333336,0.6510416666666666,5.12916226473161,4.941642422609304
183,1.0,0.7608058290337602,-3.036554268074246,-0.26984215432345,0.030902348578491966,0.6180469715698393,4.486988175071422,4.564348191467836
186,1.0,0.7561219797213337,-3.151217176394386,-0.2941026402547037,0.030395136778115502,0.60790273556231,4.139891094720404,4.51085950651685
187,1.0,0.8064758658669485,-3.0576076772720784,-0.2876820724517809,0.032722513089005235,0.6544502617801047,5.2856606625042515,4.7535901911063645
189,1.0,0.7608058290337602,-3.101092789211817,-0.2876820724517809,0.03158559696778269,0.6317119393556538,4.732071232828509,4.499809670330265
200,1.0,0.8415671856782185,-3.0261914810386994,-0.2876820724517809,0.036205648081100654,0.724112961622013,6.879372516482347,6.927557906278317
214,1.0,0.8109302162163288,-3.1122660898099426,-0.2876820724517809,0.03759398496240601,0.7518796992481203,7.393925786393532,7.3727463664043285
225,1.0,0.8544153281560676,-3.0576076772720784,-0.2876820724517809,0.03526093088857546,0.7052186177715092,6.406664739138366,6.419994928147142
228,1.0,0.9042181506398859,-3.0878475624617967,-0.2669648308630592,0.0353356890459364,0.7067137809187279,6.345953872130028,6.672032945461067
231,1.0,0.8153648132841944,-3.0470255679415414,-0.2876820724517809,0.034482758620689655,0.6896551724137931,6.08703112387093,6.133398042996649
232,1.0,0.8153648132841944,-3.0449225177447627,-0.2843542823591063,0.034106412005457026,0.6821282401091405,5.915744202431769,6.082218910376446
236,1.0,0.8241754429663494,-3.079113882493042,-0.27220250160339454,0.03553660270078181,0.7107320540156361,6.487084986465215,6.673297967767654
238,1.0,0.7275486072772777,-2.985781942700823,-0.2974630843068863,0.032362459546925564,0.6472491909385113,5.2699484345338865,5.568344503761097
