,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
4492,47.5058,-0.929,-0.4952,-15.2901,3.145,7.8664,0.726
4493,59.486,-0.9769,-0.4872,-19.1964,1.8184,7.9465,0.7288
4494,54.8975,-0.9439,-0.4882,-17.6988,2.0374,7.8936,0.7258
4495,58.2478,-0.9358,-0.5214,-18.8291,1.9469,7.9622,0.7174
4496,103.8429,-0.995,-0.5405,-33.8853,-1.7361,8.4928,0.7442
4497,47.1246,-0.9512,-0.4793,-15.1032,2.7803,7.7568,0.7343
4498,45.654,-0.9499,-0.4873,-14.6684,3.1527,7.8776,0.7343
4499,49.1443,-0.9447,-0.4796,-15.7981,2.3909,7.8398,0.7186
4500,66.5627,-0.9728,-0.4797,-21.5157,1.5748,7.9276,0.7288
4501,55.6607,-0.949,-0.4838,-17.9487,2.1195,7.8932,0.7332
4502,33.8622,-0.9473,-0.4208,-10.858,1.0458,8.2478,0.7619
