,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
77,-6.7573,-0.4364,0.8026,-1.4682,-9.9766,22.4727,0.9076
78,-6.643,-0.4023,0.9537,-1.6287,-13.3691,23.0431,0.9163
79,-7.0165,-0.4273,0.7031,-1.4147,-9.2976,22.3511,0.9145
80,-6.9773,-0.4418,0.7631,-1.4488,-9.6766,22.5991,0.915
81,-6.977,-0.4391,0.8228,-1.4865,-9.7806,22.828,0.9086
82,-6.5336,-0.3576,0.9588,-1.6779,-14.9043,22.9419,0.9173
83,-6.8308,-0.4397,0.8036,-1.4627,-9.9126,22.5815,0.9121
84,-6.9895,-0.4013,0.7004,-1.4575,-9.8412,22.3057,0.9103
85,-6.5776,-0.4798,0.7681,-1.3378,-9.8167,22.1354,0.9307
86,-6.9267,-0.4283,0.8395,-1.5156,-10.0914,22.8297,0.9065
87,-6.9517,-0.4379,0.7654,-1.4499,-9.6507,22.5613,0.9129
88,-6.9512,-0.4343,0.7768,-1.4619,-9.6969,22.6003,0.9142
89,-6.9614,-0.4311,0.7764,-1.4618,-9.7884,22.6154,0.9141
90,-6.9252,-0.4302,0.7724,-1.4595,-9.7237,22.5367,0.9122
91,-7.9155,-0.4108,0.6725,-1.5371,-14.3714,23.7532,0.9018
92,-7.0533,-0.4244,0.7996,-1.5093,-9.8241,22.8293,0.9131
93,-7.0724,-0.4547,0.7166,-1.3934,-8.7933,22.4992,0.9149
94,-6.9654,-0.4352,0.7309,-1.4267,-9.5739,22.4386,0.912
95,-6.915,-0.4343,0.7871,-1.466,-9.6225,22.5877,0.9119
96,-7.8584,-0.4835,0.5518,-1.3316,-8.9819,23.013,0.8855
97,-7.8331,-0.4081,0.6472,-1.4908,-13.2929,23.4652,0.8974
98,-6.9297,-0.4209,0.7927,-1.4922,-12.1128,22.7555,0.9092
99,-6.924,-0.4101,0.7728,-1.4982,-9.7857,22.5189,0.9145
100,-6.9324,-0.3788,0.7765,-1.5331,-9.7879,22.4851,0.915
101,-6.906,-0.4354,0.7984,-1.4741,-9.8939,22.6471,0.9146
102,-6.6953,-0.4105,0.8473,-1.5353,-10.2555,22.5256,0.9116
103,-6.812,-0.4653,0.8345,-1.4728,-9.5215,22.6888,0.9124
104,-7.177,-0.4275,0.7348,-1.4499,-9.2624,22.6856,0.9193
105,-6.961,-0.4352,0.7145,-1.4042,-9.3287,22.337,0.9053
106,-6.6607,-0.4954,0.8026,-1.3621,-9.8436,22.4032,0.9256
107,-6.8924,-0.462,0.7583,-1.4203,-9.2779,22.4729,0.9127
108,-6.9157,-0.4341,0.7222,-1.409,-9.5375,22.3255,0.9121
109,-6.9726,-0.4362,0.769,-1.4527,-9.6891,22.603,0.9136
110,-7.0136,-0.4361,0.7641,-1.4521,-9.4189,22.6198,0.914
111,-6.9654,-0.4352,0.7309,-1.4267,-9.5739,22.4386,0.912
112,-6.918,-0.4326,0.7724,-1.4502,-9.6225,22.5334,0.9137
113,-7.1018,-0.4355,0.7187,-1.4139,-9.2022,22.5276,0.9143
114,-6.8054,-0.458,0.7701,-1.3971,-9.8602,22.4146,0.9306
115,-7.1408,-0.425,0.7164,-1.432,-9.15,22.5488,0.9193
116,-6.989,-0.4313,0.7516,-1.4447,-9.5237,22.5319,0.9134
