,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
448,-6.3632,-0.6011,0.8039,-1.4916,-2.5482,22.0224,0.9565
449,-6.4161,-0.5952,0.8033,-1.5005,-2.5561,22.117,0.9571
450,-6.3281,-0.6213,0.7942,-1.5678,-2.1789,22.1213,0.963
451,-6.2969,-0.6296,0.773,-1.5389,-2.1418,21.9855,0.9643
452,-6.3495,-0.6113,0.7765,-1.5329,-1.9123,21.9951,0.9663
453,-6.15,-0.6162,0.7869,-1.5463,-2.1219,21.7951,0.9626
454,-6.397,-0.6157,0.7619,-1.5176,-2.0649,22.039,0.9642
455,-6.2539,-0.6034,0.7765,-1.5137,-2.1481,21.845,0.9609
456,-6.221,-0.6151,0.7679,-1.5384,-2.0658,21.8539,0.9655
457,-6.2461,-0.6113,0.8051,-1.5462,-2.1952,21.9423,0.965
458,-6.2591,-0.6097,0.7788,-1.5341,-2.0601,21.8921,0.9629
459,-6.2317,-0.6051,0.7875,-1.5211,-2.2038,21.852,0.9614
460,-6.4309,-0.6178,0.7771,-1.5253,-2.1609,22.1408,0.9647
461,-6.3651,-0.6121,0.7722,-1.5319,-2.0876,22.0351,0.9623
462,-6.2341,-0.6201,0.798,-1.5636,-2.2525,21.9831,0.9632
463,-6.2895,-0.6228,0.7908,-1.5576,-2.123,22.0236,0.9618
464,-6.2765,-0.6174,0.7873,-1.5314,-2.2438,21.9521,0.9622
465,-6.4067,-0.608,0.8174,-1.5353,-2.4691,22.2098,0.9674
466,-6.2791,-0.6111,0.7874,-1.5513,-2.2086,21.9968,0.9623
467,-6.2433,-0.6167,0.788,-1.5549,-2.0678,21.9387,0.9647
468,-6.2458,-0.6116,0.7786,-1.5398,-2.1226,21.9046,0.9613
469,-6.443,-0.6102,0.7575,-1.5067,-2.1042,22.0713,0.9651
470,-6.2582,-0.6225,0.7917,-1.5479,-2.2312,21.9757,0.9602
471,-6.3675,-0.6215,0.8159,-1.5583,-2.5189,22.2259,0.9689
472,-6.1499,-0.6157,0.7809,-1.5509,-2.0932,21.7972,0.9626
473,-6.3838,-0.6196,0.7572,-1.5153,-2.0513,22.0167,0.9641
474,-6.2671,-0.6162,0.7834,-1.5454,-2.1734,21.9659,0.9613
475,-6.3588,-0.619,0.7617,-1.5156,-2.1731,21.9936,0.9646
476,-6.2173,-0.6237,0.7887,-1.5553,-2.1354,21.9202,0.9623
477,-6.2444,-0.6164,0.7796,-1.5414,-2.2032,21.9272,0.9627
478,-6.2338,-0.6099,0.7716,-1.5374,-2.1715,21.8819,0.9624
479,-6.4106,-0.6067,0.8108,-1.4992,-2.4877,22.1102,0.9577
480,-6.3325,-0.6248,0.7814,-1.5574,-2.0493,22.0734,0.9627
481,-6.4598,-0.609,0.7496,-1.4802,-1.9636,21.9967,0.9647
482,-6.214,-0.6176,0.7643,-1.5299,-2.0962,21.8229,0.9632
483,-6.2612,-0.6266,0.7768,-1.5451,-2.126,21.9487,0.963
484,-6.2854,-0.6132,0.7793,-1.5404,-2.1633,21.9691,0.9626
485,-6.4054,-0.6222,0.7831,-1.5427,-2.0368,22.1298,0.9657
486,-6.3816,-0.6078,0.7556,-1.5118,-1.9535,21.9714,0.9644
487,-6.3135,-0.6259,0.7875,-1.5533,-2.2066,22.0614,0.9617
488,-6.1865,-0.6126,0.7835,-1.5399,-2.1216,21.823,0.9596
489,-6.384,-0.6213,0.7707,-1.5348,-2.0164,22.0745,0.9629
