,y_predicted,y_actual,Relative Error
2,4.7985389210138525,4.700480365792417,0.020861390238975076
3,5.199578105292198,5.081404364984463,0.023256118155457223
4,4.90943701966798,4.919980925828125,0.00214307866617808
5,5.09066254872732,5.093750200806762,0.0006061648015157271
6,4.937712162571404,4.948759890378168,0.0022324234861838144
7,4.968376210163672,4.795790545596741,0.035986906209945026
8,4.551832958242073,4.454347296253507,0.021885509931064404
9,4.834224409743444,4.8283137373023015,0.0012241690914735978
10,5.179775008954034,5.093750200806762,0.016888305228169025
11,5.7739678314895615,5.720311776607412,0.0093799179096444
12,6.144244731175057,6.1903154058531475,0.007442379209713485
13,5.592228280999741,5.579729825986222,0.002239974945616671
14,5.7958429772487365,5.777652323222656,0.00314845079081078
15,4.577531157894056,4.499809670330265,0.01727217221569423
16,5.24598384929969,5.247024072160486,0.00019825006451092478
17,5.027290206926577,5.0106352940962555,0.0033239124088606147
18,5.536691763545227,5.602118820879701,0.011678984224793668
19,5.118930595032921,5.10594547390058,0.0025431374460842724
20,4.887768528476279,4.875197323201151,0.0025786044013647006
21,5.342979071483034,5.3230099791384085,0.003751466261173172
22,5.673087077134424,5.69035945432406,0.003035375414906522
23,5.355742809310221,5.375278407684165,0.0036343416828452254
24,5.067964837632475,5.0689042022202315,0.00018531906508408255
25,5.248109129141561,5.209486152841421,0.007413970431435611
26,5.9225378144643015,5.998936561946683,0.012735381795334292
27,5.048589880662063,5.062595033026967,0.0027663979191576886
28,5.475280924629851,5.472270673671475,0.0005500917512831917
29,5.417426241979747,5.455321115357702,0.006946405642607118
30,5.582619696049664,5.631211781821365,0.008629063806224736
31,5.000790407820239,4.927253685157205,0.014924484786434924
32,5.345636936845877,5.337538079701318,0.0015173394594334155
33,5.740237958331779,5.84354441703136,0.01767873251694442
34,4.771421664485159,4.762173934797756,0.0019419134651567538
35,5.25428700746499,5.19295685089021,0.011810257303460182
36,4.7872428468963255,4.820281565605037,0.006854105566043748
37,5.3995301860024325,5.459585514144159,0.010999979391501602
38,6.238306991971552,5.831882477283517,0.06969010714313069
39,6.053576013272082,6.173786103901937,0.01947104881944
40,5.644081643877547,5.768320995793772,0.021538217447818857
41,5.518863941224354,5.66988092298052,0.02663494768365956
42,5.693131240034295,5.472270673671475,0.040359949193565614
43,5.17031278548976,5.293304824724492,0.02323539703594029
44,4.951427171843794,5.017279836814924,0.013125172825308236
45,3.6809927054441034,3.828641396489095,0.03856425184672221
46,5.322168706904619,5.493061443340548,0.031110654449916866
47,5.143011603538395,5.241747015059643,0.018836355748871318
48,5.625919530297279,5.814130531825066,0.03237130650878384
49,5.041037934477007,5.135798437050262,0.018450977727171185
50,4.902148626528176,5.0106352940962555,0.02165127996761264
51,6.637039997205291,6.70196036600254,0.009686773011457109
52,7.361615924977037,7.284134806195205,0.010636969364698448
53,4.496015966980654,4.532599493153256,0.008071202017267153
54,5.294319674702321,5.19295685089021,0.019519288667829898
55,5.442469467321132,5.442417710521793,9.509891024849975e-06
56,5.279784477659105,5.247024072160486,0.00624361639056289
57,5.294319674702321,5.19295685089021,0.019519288667829898
58,5.744479068681078,5.762051382780177,0.003049662859934528
59,5.944561732944314,5.945420608606575,0.0001444600338313564
60,6.583762925295318,6.659293919683638,0.011342192625717297
61,6.133026139083544,6.212606095751519,0.012809432215957733
62,6.033417815563513,6.003887067106539,0.00491860491826436
63,6.540606668752332,6.593044534142437,0.007953512996697117
64,6.13548033810366,6.042632833682381,0.015365405606598406
65,7.207016317285077,7.208600337960199,0.00021974039353810776
66,5.5321490661754495,5.44673737166631,0.015681258096534555
67,5.220385849260328,5.030437921392435,0.037759720095167155
68,5.016913560706652,4.976733742420574,0.008073531831448875
69,7.250415894985026,7.237778191923443,0.0017460749316254587
70,5.691830962823109,5.755742213586912,0.011103911258036484
71,6.406683709152794,6.401917196727186,0.0007445445292615493
72,7.600651854975827,7.520234556474628,0.010693456154497648
73,7.108342436909888,7.112327444710911,0.0005602958851376452
74,7.291003354737913,7.16703787691222,0.017296612625005554
75,6.813327540395142,6.723832440821209,0.013310132333250563
76,4.916959859925891,4.6443908991413725,0.058687773424693696
77,5.512736736306261,5.393627546352362,0.022083317568794808
78,5.944976371295917,5.966146739123692,0.003548415544148105
79,6.884855417234311,6.895682697747868,0.001570153527669332
80,6.441814225411537,6.4967749901858625,0.008459699598239088
81,6.691988208821687,6.755768921984255,0.009440925807129947
82,5.648363847979867,5.652489180268651,0.0007298257736051309
83,5.225537090658512,5.3471075307174685,0.022735738782242963
