,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
81,95.68,1.0,CCCCCCCC,0.32,4.0,1.96,1385,390
93,95.84,0.5,CCCCCCCC,0.16,4.0,2.07,1273,988
121,95.84,0.5,CCCCCCCC,0.16,4.0,1.98,1307,663
132,95.68,1.0,CCCCCCCC,0.32,4.0,2.05,1265,1569
136,95.68,1.0,CCCCCCCC,0.32,4.0,3.81,1273,1064
140,95.68,1.0,CCCCCCCC,0.32,4.0,3.37,1282,1020
143,95.68,1.0,CCCCCCCC,0.32,4.0,3.75,1319,614
154,95.68,1.0,CCCCCCCC,0.32,4.0,2.01,1289,1198
