,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
14,95.5,1.0,CCCCC,0.5,4.0,1.74,1489,145
18,95.75,0.5,CCCCC,0.25,4.0,1.73,1263,1391
24,95.5,1.0,CCCCC,0.5,4.0,3.47,1395,316
108,95.5,1.0,CCCCC,0.5,4.0,1.91,1360,603
