,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
35,95.75,0.5,CCCCC,0.25,4.0,1.62,1428,153
135,95.5,1.0,CCCCC,0.5,4.0,2.0,1267,1845
156,95.5,1.0,CCCCC,0.5,4.0,1.95,1304,1227
157,95.5,1.0,CCCCC,0.5,4.0,3.61,1268,1296
159,95.5,1.0,CCCCC,0.5,4.0,3.61,1303,832
