,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
14,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,5.65,,Stanford,15.3,±5,CH,1442,±1,117
23,n_Dodecane / Vasu_2010_thesis,N2,96.18,0.5,CCCCCCCCCCCC,0.1,306.0,Species,3.73,16.13,,Stanford,5.0,±5,OH,1211,±1,534
30,blend_surrogate_fuels,N2,77.53,1.0,CCCCCCC,1.87,306.7,Species,20.6,53.6,,Stanford,5.0,,OH,1013,±1.8,292
32,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306.0,Species,20.89,18.9,,Stanford,5.0,±5,OH,1049,±1,839
37,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1.0,CCCCCCCC,0.32,306.0,Species,4.0,3.37,±1,Stanford,14.13,±3,OH,1282,±0.7,1020
40,n_Alkane_Oxidation,Ar,99.51,1.0,CCCCCCCCCC,0.03,431.0,Species,0.47,2.19,,Stanford,8.9,±5,CH,1479, ±1.5,375
44,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.0,1.5,CCCCCCC,1.2,431.0,Species,8.8,1.14,,Stanford,15.3,±5,CH,1465,±1,189
45,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.71,1.14,CCCCCCCCCCCC,1.29,430.0,Speceis,21.0,5.82,±9.3,Stanford,15.3,,CH,964,±1,1175
49,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.87,0.79,CCCCCCCCCCCCCCCC,0.13,431.0,Species,4.0,2.08,,Stanford,15.3,±2,CH,1165,±2,4548
53,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.32,0.6,CCCCCCCCCCCC,0.68,430.0,Speceis,21.0,4.23,±9.3,Stanford,15.3,,CH,993,±1,5732
56,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1.0,CCCCCCCC,0.32,306.0,Species,4.0,1.96,±1,Stanford,14.13,±3,OH,1385,±0.7,390
60,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.4,1.0,CCCCCCC,0.8,431.0,Species,8.8,1.15,,Stanford,15.3,±5,CH,1378,±1,385
69,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.11,0.79,CCCCCCCCCCCC,0.89,430.0,Speceis,21.0,4.88,±9.3,Stanford,15.3,,CH,1118,±1,587
