,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
19,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306.0,Species,4.0,1.91,±1,Stanford,14.13,±3,OH,1434,±0.7,104
20,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.26,0.65,CCCCCCCCCCCC,0.74,430.0,Speceis,21.0,4.68,±9.3,Stanford,15.3,,CH,1003,±1,4081
21,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.0,1.5,CCCCCCC,1.2,431.0,Species,8.8,1.29,,Stanford,15.3,±5,CH,1411,±1,311
22,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.79,0.18,CCCCCCCCCCCC,0.21,430.0,Speceis,21.0,4.0,±9.3,Stanford,15.3,,CH,1078,±1,5605
24,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,2.13,,Stanford,15.3,±5,CH,1455,±1,165
25,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306.0,Species,20.89,21.0,,Stanford,5.0,±5,OH,1149,±1,261
26,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,N2,78.06,0.82,CCCCCCCCCCCC,0.94,430.0,Speceis,21.0,7.88,±9.3,Stanford,15.3,,CH,1050,±1,1034
27,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.29,0.62,CCCCCCCCCCCC,0.71,430.0,Speceis,21.0,5.33,±9.3,Stanford,15.3,,CH,1172,±1,663
28,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431.0,Species,8.8,1.34,,Stanford,15.3,±5,CH,1345,±1,305
29,n_Dodecane / Vasu_2010_thesis,N2,78.11,1.0,CCCCCCCCCCCC,1.12,306.0,Species,20.77,19.8,,Stanford,5.0,±5,OH,957,±1,1064
31,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,1.24,,Stanford,15.3,±5,CH,1445, ±1.5,290
33,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1.0,CCCCCCCC,0.32,306.0,Species,4.0,1.95,±1,Stanford,14.13,±3,OH,1325,±0.7,859
34,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.65,0.31,CCCCCCCCCCCC,0.35,430.0,Speceis,21.0,4.79,±9.3,Stanford,15.3,,CH,1241,±1,337
35,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,5.68,,Stanford,15.3,±5,CH,1375,±1,271
36,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,5.57,,Stanford,15.3,±5,CH,1372,±1,279
38,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.79,0.5,CCCCCC,0.21,306.0,Species,4.0,1.76,±1,Stanford,14.13,±3,OH,1274,±0.7,1225
39,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.44,0.5,CCCCCCCCCCCC,0.56,430.0,Speceis,21.0,6.56,±9.3,Stanford,15.3,,CH,1053,±1,2105
