Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
n_Dodecane_Nano,N2,99.203,1,CCCCCCCCCCCC,0.047,430,Speceis,0.75,2.09,,Stanford,15.3,,CH,1612,,80
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.84,±1,Stanford,14.13,±3,OH,1385,±0.7,231
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,23.3,,Stanford,5,±5,OH,822,±1,805
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.22,,Stanford,15.3,±5,CH,1492,±1,141
n_Dodecane_Nano,N2,99.206,1,CCCCCCCCCCCC,0.044,430,Speceis,0.75,2.17,,Stanford,15.3,,CH,1536,,140
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306,Species,20.89,25,,Stanford,5,±5,OH,806,±1,1522
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.32,,Stanford,15.3,±5,CH,1413,±1,121
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.2,,Stanford,15.3,±5,CH,1455,±1,86
n_Alkane_Oxidation,Ar,99.505,1,CCCCCCCCCC,0.03,431,Species,0.465,2.08,,Stanford,8.9,±5,CH,1661, ±1.5,87
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1,CCCCCCC,1.2,431,Species,13.2,1.22,,Stanford,15.3,±5,CH,1455,±1,115
n_Dodecane_Nano,N2,99.1885,1,CCCCCCCCCCCC,0.048,430,Speceis,0.7635,2.14,,Stanford,15.3,,CH,1618,,96
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,2.01,±1,Stanford,14.13,±3,OH,1380,±0.7,220
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306,Species,20.89,26,,Stanford,5,±5,OH,747,±1,2243
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.25,,Stanford,15.3,±5,CH,1501,±1,125
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.1724,0.73,CCCCCCCCCCCC,0.8276,430,Speceis,21,6.42,±9.3,Stanford,15.3,,CH,1284,±1,80
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,60.6,,Stanford,5,,OH,926,±1.8,233
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.75,0.5,CCCCC,0.25,306,Species,4,1.62,±1,Stanford,14.13,±3,OH,1428,±0.7,153
n_Dodecane_Nano,N2,99.212,1,CCCCCCCCCCCC,0.0428,430,Speceis,0.7452,2.13,,Stanford,15.3,,CH,1645,,91
n_Dodecane_Nano,N2,99.203,1,CCCCCCCCCCCC,0.047,430,Speceis,0.75,2.24,,Stanford,15.3,,CH,1528,,116
n_Dodecane_Nano,N2,78.61,0.34,CCCCCCCCCCCC,0.39,430,Speceis,21,7.53,,Stanford,15.3,,CH,1243,,130
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.67,±1,Stanford,14.13,±3,OH,1403,±0.7,190
n_Dodecane_Nano,N2,99.205,1,CCCCCCCCCCCC,0.045,430,Speceis,0.75,2.14,,Stanford,15.3,,CH,1583,,90
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.78,±1,Stanford,14.13,±3,OH,1399,±0.7,180
n_Alkane_Oxidation,Ar,99.505,1,CCCCCCCCCC,0.03,431,Species,0.465,2.12,,Stanford,8.9,±5,CH,1574, ±1.5,119
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.01,1.75,CCCCCCCCCCCC,1.99,430,Speceis,21,6.46,±9.3,Stanford,15.3,,CH,988,±1,260
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,76.862,1.88,CCCCCCCCCCCC,2.138,430,Speceis,21,5.04,±9.3,Stanford,15.3,,CH,979,±1,306
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1238,,109
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.11,±1,Stanford,15.3,±5,CH,1412,±1,149
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,1.24,,Xi’an_Jiaotong,11.5,±2.36,CH,1585,±3,70
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.19,±1,Stanford,15.3,±5,CH,1490,±1,100
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.484,0.45,CCCCCCCCCCCC,0.516,430,Speceis,21,6.4,±9.3,Stanford,15.3,,CH,1068,±1,2126
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.714,1,CCCCCCCCC,0.286,306,Species,4,3.58,±1,Stanford,14.13,±3,OH,1372,±0.7,318
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1,CCCCCCC,1.2,431,Species,13.2,1.19,,Stanford,15.3,±5,CH,1421,±1,163
n_Dodecane / Vasu_2010_thesis,N2,78.107,1,CCCCCCCCCCCC,1.123,306,Species,20.77,33.7,,Stanford,5,±5,OH,1118,±1,183
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.7936,0.18,CCCCCCCCCCCC,0.2064,430,Speceis,21,4.51,±9.3,Stanford,15.3,,CH,1351,±1,233
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1,CCCCC,0.5,306,Species,4,1.74,±1,Stanford,14.13,±3,OH,1489,±0.7,145
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1187,,395
n_Dodecane / Vasu_2010_thesis,N2,96.175,0.5,CCCCCCCCCCCC,0.1,306,Species,3.725,15.93,,Stanford,5,±5,OH,1179,±1,847
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,4.07,,Stanford,15.3,±5,CH,1420,±1,163
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.34,,Stanford,15.3,±5,CH,1345,±1,305
