Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
-6.727752190300269,-0.5656031906900412,0.7955411938853779,-1.3756637096240305,-2.7904570360095007,22.2467866616243,0.939295041634206
72.36316137645696,-0.9708949332074928,-0.4687931879695872,-23.38463633095529,1.1474459320383268,7.815525235644723,0.7183691943489803
-6.684743824798064,-0.559494825531441,0.842991521292955,-1.3990499273518548,-7.801363071761887,22.69235930650309,0.9415467970236772
-6.825201456189962,-0.5665423513717454,0.7902657882787457,-1.3619728190552045,-2.5797092705383617,22.31956552338136,0.9403110951490714
58.28582493185076,-0.9565338161984924,-0.4571220982447678,-18.82581154077174,1.2078487035132763,8.021270617746072,0.739355953395542
-6.760935115725896,-0.5583323792792204,0.7824916993696145,-1.3577649819202229,-2.510736357161192,22.202024704725986,0.9384138683791344
54.50837397817472,-0.9454007939176629,-0.4847494883102829,-17.577728281948886,2.096106568802652,7.913971250760428,0.7295500459629817
42.75730239122751,-0.905585015778804,-0.4845414584836039,-13.727899803658747,3.387126921433044,7.789896671348609,0.7165931338836287
50.78363754161076,-0.945820931706509,-0.4663535140910625,-16.34660688777943,2.0467810644064066,7.905461668173742,0.7216152988002038
79.36690017881457,-0.9689695835752066,-0.5078199046631855,-25.803493924332287,0.1227477825606708,8.229649499881903,0.7419432869626144
65.34418697901256,-0.9509822862825346,-0.5321599867881529,-21.32729662024275,0.6465471655860568,8.619645127414547,0.7502163125343226
-6.710494581483629,-0.5504705268781314,0.7786577873809403,-1.3428929761046755,-2.618141315425216,22.093893837099163,0.9379227754432256
-6.641600249524426,-0.5467188078554017,0.8382515948505354,-1.375971761377001,-7.8935381630676655,22.580608048545777,0.9432606518711196
-0.4732649198298007,-0.5942542498811771,-0.4946570400253925,0.0448243692190577,1.039880144734827,8.544055219088584,0.6872946411570934
-0.0708347031997154,-0.6184839940092327,-0.4330552569753815,-0.044526834757825,-0.4025016928748819,8.59836239760523,0.6693823089441313
-6.693125683055329,-0.5486835885581667,0.7868547170763093,-1.3567712130296257,-2.6312897953955083,22.116204866444548,0.937814048403976
-6.696854870675977,-0.5455620372741395,0.7758216350772298,-1.3364721391014889,-2.59781294072768,22.054139341566483,0.9369607834199792
-6.7878588074365656,-0.5534609813027384,0.8011126443590432,-1.3678810057408624,-2.720964787151276,22.304468999700024,0.9378110201850128
-6.749507466679644,-0.5727246799419717,0.8389618034551313,-1.4210871702256531,-7.013252035404947,22.72447922458616,0.9333568070531242
-6.672705149179548,-0.5471948208084901,0.7684958952699141,-1.331790058886713,-2.659192790592278,21.999051829947497,0.9373952175712807
-6.8002828044656045,-0.5508787090582845,0.7844834707144339,-1.3526927358669834,-2.681740694928945,22.260279997452592,0.9400705786904482
-6.6459283309753685,-0.5707560963249978,0.8192249167146173,-1.3913420977106776,-7.321671089724251,22.54115309948819,0.9334185043032214
-6.805668046937333,-0.5687935546540857,0.8340506728841138,-1.4037661800029952,-7.483641795190858,22.81895711979852,0.930644302930634
-6.450229352373205,-0.5434975003732847,0.8882945441331098,-1.4256759122837914,-9.99500973937341,22.66739224144132,0.9451955222223924
-6.751476420226765,-0.5468408722200967,0.7755321212227468,-1.3369632694553315,-2.549878850152552,22.11637939264069,0.941049813079838
-0.1501658484224315,-0.6302603421672581,-0.4242352130357804,-0.0760723685917494,-0.0775267625029707,8.786952046190214,0.6893114355255366
-6.62493536350682,-0.5652312510240499,0.8051622968781873,-1.3747730608654931,-7.278717817428507,22.449580401336625,0.9325062335109108
-6.664061793036647,-0.5626638963663734,0.8196248406989646,-1.3838114336040637,-7.491000561196692,22.557252617063806,0.9315680511396058
-6.637926326310464,-0.5402089019791567,0.7747349219651685,-1.3377948658137129,-2.6039762745129,21.96646513710376,0.9346935845775342
-6.588326166841081,-0.5594372757353395,0.8252902354327538,-1.3821585425838343,-7.353405721977982,22.45603145942073,0.9354477242858446
-6.7232202725748405,-0.5618340237548776,0.8024749228709354,-1.3692278582868629,-2.8211417036392787,22.23708735199743,0.9386186831481784
56.519055486529965,-0.9558256806243024,-0.4906261318955284,-18.23032626855861,2.207209874055016,7.905898831458166,0.7299568780059296
44.13996094449229,-0.918706714770318,-0.5056779400117655,-14.233356139399874,3.5311169329835046,7.982849705344445,0.7347624238438923
65.11806402398011,-0.9701220851291704,-0.5042741955768284,-21.070474626393263,1.514423533525331,8.008603712546563,0.7300090845419408
-6.811974521902581,-0.550213690075331,0.7768874009424219,-1.3417301598514315,-2.5468715391212555,22.215089791495032,0.9404065824809338
-6.607211245672512,-0.5501883735100076,0.880066188853871,-1.4233894989677316,-9.585951622742586,22.828032763097383,0.9388938034900828
-6.742128328404425,-0.5599611727451436,0.8404685355591412,-1.3921390342960298,-8.13771298584756,22.78262692892097,0.943757942301274
59.59290848520905,-0.9581887166027692,-0.4942255265052988,-19.224641330331323,1.5904202280012676,7.893680844400979,0.7272308078561358
-6.688986712193205,-0.5475159516947816,0.7898580682626614,-1.354602149552716,-2.7098120544054463,22.11059759399564,0.9370581151245456
-6.750185121698833,-0.5519679800889179,0.7604138139548449,-1.3207086222021196,-2.6352313507281573,22.07839663080504,0.9398477735306298
-0.252630212303907,-0.5793549225432417,-0.5033057224191273,-0.0822408064550492,0.6115031150397066,8.704338977547156,0.6770448312172759
-6.680050167049671,-0.5566258580674556,0.8419392274757929,-1.3907561052303012,-7.7875626194214,22.67162033024592,0.9435106019415016
0.0382015805169917,-0.5861333801289207,-0.4406311359901281,-0.13828864765041,-0.1683983920806326,8.645246505593523,0.6709361134571432
