,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
4,95.857,0.5,CCCCCCCCC,0.143,4.0,1.78,1399,180
9,95.857,0.5,CCCCCCCCC,0.143,4.0,1.78,1399,180
13,95.714,1.0,CCCCCCCCC,0.286,4.0,3.58,1372,318
24,95.714,1.0,CCCCCCCCC,0.286,4.0,1.86,1367,499
44,95.714,1.0,CCCCCCCCC,0.286,4.0,3.63,1348,405
