,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
35,95.58,1.0,CCCCCC,0.42,4.0,1.86,1375,483
39,95.58,1.0,CCCCCC,0.42,4.0,3.6,1396,301
76,95.58,1.0,CCCCCC,0.42,4.0,3.48,1386,291
91,95.58,1.0,CCCCCC,0.42,4.0,1.77,1470,176
116,95.79,0.5,CCCCCC,0.21,4.0,1.76,1274,1225
