T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.0717665234946775,0.7994769494166253,-0.9524103469375892,1.844903718578412,1.3603208700177254
0.07176652349467753,0.7994769494166253,-0.9524103469375891,1.8449037185784118,1.3603208700177254
