features,VIF Factor
CRIM,6.976406030328208
ZN,
INDUS,inf
CHAS,7.914113252605133
NOX,4.806543716351671
RM,2.9989926052213436
AGE,4.299982140008554
DIS,12.693970811426489
RAD,inf
TAX,inf
PTRATIO,inf
B,2.5277003675684058
LSTAT,4.684353074381196
