,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
46,95.8835,0.71,CCCCCCCCCCCCCCCC,0.1165,4.0,1.96,1218,2657
59,95.9091,0.56,CCCCCCCCCCCCCCCC,0.0909,4.0,1.91,1212,2270
